Epoch,Train Loss,Train Acc,Val Acc
1,0.7247,0.8001,0.8976
2,0.236,0.9319,0.9266
3,0.1752,0.9496,0.9332
4,0.1452,0.9573,0.9219
5,0.1298,0.9614,0.9325
6,0.1093,0.9673,0.937
7,0.1013,0.9697,0.9437
8,0.0917,0.9729,0.9429
9,0.0862,0.9743,0.9401
10,0.0804,0.9756,0.939
