Epoch,Train Loss,Train Acc,Val Acc
1,0.8189,0.77,0.8945
2,0.253,0.9278,0.9203
3,0.1841,0.9471,0.9322
4,0.1531,0.9548,0.9238
5,0.1314,0.9611,0.9325
6,0.1128,0.9665,0.9351
7,0.1036,0.9686,0.9398
8,0.0947,0.9723,0.9422
9,0.0905,0.9728,0.9398
10,0.0851,0.9747,0.9435
11,0.0794,0.9762,0.9397
12,0.0811,0.9756,0.9303
13,0.0753,0.9772,0.9323
