Epoch,Train Loss,Train Acc (%),Val Acc (%)
1,1.6302,59.6,88.94
2,0.3276,90.25,92.32
3,0.2107,93.79,94.17
4,0.1545,95.36,93.79
5,0.1247,96.22,94.7
6,0.1061,96.79,94.67
7,0.0875,97.28,94.48
8,0.078,97.65,94.73
9,0.0698,97.87,94.65
10,0.0611,98.12,94.34
11,0.0543,98.34,94.92
12,0.0481,98.53,94.94
13,0.0405,98.74,94.95
14,0.0374,98.82,95.26
15,0.0321,98.97,95.04
16,0.0263,99.17,95.12
17,0.0253,99.19,95.04
