Epoch,Train Loss,Train Acc,Val Acc
1,2.4198,0.277,0.4238
2,1.5706,0.5194,0.5783
3,1.1778,0.6417,0.6656
4,0.9589,0.7086,0.7146
5,0.8273,0.7484,0.7407
6,0.726,0.7799,0.761
7,0.6485,0.8021,0.7723
8,0.5824,0.8227,0.7711
9,0.5311,0.8379,0.7923
10,0.4901,0.8475,0.8042
11,0.4547,0.8596,0.8161
12,0.4201,0.87,0.8223
13,0.3906,0.8785,0.8202
14,0.365,0.886,0.8127
15,0.3416,0.8932,0.8254
16,0.323,0.8983,0.8317
17,0.2992,0.9065,0.8267
18,0.285,0.9094,0.8322
19,0.2672,0.9159,0.8288
20,0.252,0.9199,0.8422
